m1,m2,m3,repository,version,code_quality,maintainability,total
0.13333333333333333,0.2,1.0,Archives,03-10-2021-15-47,0.44000000000000006,0.44000000000000006,0.44000000000000006
0.14285714285714285,0.21428571428571427,1.0,Archives,13-09-2021-15-00,0.44785714285714284,0.44785714285714284,0.44785714285714284
0.14285714285714285,0.21428571428571427,1.0,Profile,03-10-2021-15-48,0.44785714285714284,0.44785714285714284,0.44785714285714284
0.14285714285714285,0.21428571428571427,1.0,Profile,13-09-2021-14-00,0.44785714285714284,0.44785714285714284,0.44785714285714284
0.9333333333333333,0.022222222222222223,0.9777777777777777,Frontend,03-10-2021-15-49,0.638,0.638,0.638
0.6666666666666666,0.16666666666666666,1.0,Frontend,13-09-2021-20-00,0.605,0.605,0.605
